"","AUR","Price","AgeRating","Size","HasSubtitle","InAppSum","InAppMin","InAppMax","InAppCount","InAppAvg","descriptionTermCount","DevType","LanguagesCount","EngSupported","GenreCount","months","monthsSinceUpdate","GameFree","Ratings"
"6333",4.5,0,"4+",16220160,0,0.99,0.99,0.99,1,0.99,41,"Newbie",1,"1",2,"7",50,"0","0"
"6334",4,0,"9+",40024064,0,198.91,0.99,99.99,9,22.1011111111111,247,"Newbie",1,"1",3,"8",23,"0","0"
"6335",0,0,"4+",52155392,0,75.96,0.99,49.99,4,18.99,88,"Professional",1,"1",2,"7",40,"0","-1"
"6336",4,0,"9+",129234944,0,0,0,0,0,0,143,"Newbie",1,"1",2,"7",47,"1","1"
"6337",0,0,"4+",103673856,0,0.99,0.99,0.99,1,0.99,88,"Newbie",5,"1",3,"7",39,"0","-1"
"6338",4,0,"9+",275446784,0,258.9,4.99,99.99,10,25.89,249,"Professional",1,"1",2,"12",18,"0","1"
"6339",2.5,0,"9+",318094336,0,0,0,0,0,0,313,"Newbie",1,"1",3,"7",18,"1","0"
"6340",0,0,"4+",55656448,0,2.99,2.99,2.99,1,2.99,180,"Professional",1,"1",3,"6",52,"0","-1"
"6341",0,0,"4+",31009792,0,15.97,0.99,9.99,3,5.32333333333333,213,"Newbie",1,"1",3,"1",32,"0","-1"
"6342",0,0,"4+",35888128,0,0,0,0,0,0,95,"Newbie",1,"1",3,"6",39,"1","-1"
"6343",4.5,0.99,"9+",27475968,0,38.93,0.99,19.99,7,5.56142857142857,1,"Professional",1,"1",2,"8",48,"0","0"
"6344",5,0,"4+",53182464,1,0.99,0.99,0.99,1,0.99,57,"Newbie",1,"1",3,"12",26,"0","0"
"6345",4,2.99,"9+",160202752,0,8.91,0.99,0.99,9,0.99,219,"Newbie",1,"1",3,"6",38,"0","1"
"6346",5,0,"4+",138254336,0,5.98,0.99,4.99,2,2.99,210,"Newbie",1,"1",3,"10",36,"0","0"
"6347",4,4.99,"4+",701620224,0,0,0,0,0,0,146,"Newbie",6,"1",2,"8",43,"1","1"
"6348",0,0,"9+",27529216,0,0,0,0,0,0,150,"Professional",1,"1",2,"8",50,"1","-1"
"6349",5,0,"4+",39817216,0,0.99,0.99,0.99,1,0.99,74,"Newbie",1,"1",3,"7",4,"0","0"
"6350",5,0,"4+",42308608,0,1.98,0.99,0.99,2,0.99,77,"Newbie",2,"1",2,"7",40,"0","1"
"6351",0,0,"4+",128868352,0,40.9,0.99,14.99,10,4.09,76,"Professional",1,"1",2,"8",50,"0","-1"
"6352",0,0,"4+",146817024,0,21.98,1.99,19.99,2,10.99,76,"Professional",1,"1",2,"8",50,"0","-1"
"6353",0,0,"4+",17555456,0,0,0,0,0,0,282,"Newbie",1,"1",3,"6",51,"1","-1"
"6354",0,0,"4+",9507840,0,0,0,0,0,0,221,"Newbie",1,"1",2,"7",8,"1","-1"
"6355",4.5,0,"4+",88780800,0,0.99,0.99,0.99,1,0.99,70,"Newbie",1,"1",3,"7",50,"0","1"
"6356",0,0,"4+",41464832,0,0,0,0,0,0,107,"Newbie",1,"1",3,"7",17,"1","-1"
"6357",0,1.99,"4+",30675968,0,0,0,0,0,0,103,"Professional",1,"1",3,"6",12,"1","-1"
"6358",4.5,1.99,"9+",71457792,0,17.96,0.99,7.99,4,4.49,419,"Newbie",1,"1",2,"7",32,"0","1"
"6359",0,0,"4+",107572224,0,205.91,0.99,84.99,9,22.8788888888889,10,"Newbie",1,"1",3,"7",38,"0","-1"
"6360",4.5,0,"4+",107010048,0,0,0,0,0,0,150,"Newbie",3,"1",3,"6",7,"1","0"
"6361",0,0,"4+",59079680,0,2.99,2.99,2.99,1,2.99,128,"Newbie",1,"1",3,"7",15,"0","-1"
"6362",0,0,"4+",16818176,0,0,0,0,0,0,49,"Newbie",1,"1",3,"7",51,"1","-1"
"6363",0,0,"4+",54669312,0,2.99,2.99,2.99,1,2.99,160,"Newbie",25,"1",2,"6",52,"0","-1"
"6364",4.5,0,"4+",304778240,0,70.9,0.99,29.99,10,7.09,243,"Newbie",1,"1",3,"9",43,"0","1"
"6365",4.5,2.99,"9+",126615552,1,0,0,0,0,0,238,"Newbie",1,"1",3,"8",12,"1","1"
"6366",2,0,"9+",33625088,0,0.99,0.99,0.99,1,0.99,125,"Newbie",2,"1",2,"7",13,"0","0"
"6367",0,0,"4+",11730944,0,1.99,1.99,1.99,1,1.99,63,"Professional",2,"1",3,"7",51,"0","-1"
"6368",4,0,"4+",614406144,0,118.92,0.99,49.99,8,14.865,59,"Newbie",1,"1",2,"7",12,"0","1"
"6369",0,0,"4+",52109312,0,2.98,0.99,1.99,2,1.49,43,"Professional",16,"1",3,"8",50,"0","-1"
"6370",0,0,"4+",79447040,0,2.99,2.99,2.99,1,2.99,79,"Professional",1,"1",3,"9",43,"0","-1"
"6371",0,0,"4+",7192576,0,0,0,0,0,0,69,"Newbie",1,"1",3,"8",50,"1","-1"
"6372",4,0,"4+",106297344,1,51.9,1.99,14.99,10,5.19,251,"Professional",3,"1",3,"8",16,"0","1"
"6373",0,0,"4+",44208128,0,0,0,0,0,0,186,"Newbie",1,"1",3,"7",48,"1","-1"
"6374",5,0.99,"9+",15148032,0,0,0,0,0,0,88,"Newbie",1,"1",2,"8",11,"1","0"
"6375",4.5,0,"9+",15027200,0,0,0,0,0,0,351,"Newbie",1,"1",3,"8",26,"1","0"
"6376",3.5,0,"9+",104206336,0,25.9,0.99,5.99,10,2.59,222,"Newbie",7,"1",2,"12",26,"0","0"
"6377",3,0,"4+",67391488,0,0,0,0,0,0,188,"Newbie",1,"1",3,"7",48,"1","0"
"6378",4.5,0,"4+",24805376,0,67.94,0.99,29.99,6,11.3233333333333,56,"Professional",1,"1",3,"7",43,"0","1"
"6379",4.5,0,"9+",136365056,0,206.9,0.99,99.99,10,20.69,259,"Newbie",2,"1",3,"2",3,"0","1"
"6380",3,0,"4+",12190720,0,2.99,2.99,2.99,1,2.99,52,"Professional",1,"1",2,"7",38,"0","0"
"6381",0,2.99,"4+",12190720,0,0,0,0,0,0,52,"Professional",1,"1",2,"7",38,"1","-1"
"6382",4.5,0,"4+",28618752,0,9.97,1.99,4.99,3,3.32333333333333,239,"Professional",1,"1",2,"7",51,"0","0"
"6383",4.5,0,"9+",110904320,0,184.9,0.99,99.99,10,18.49,188,"Newbie",5,"1",2,"4",36,"0","1"
"6384",4,0,"4+",289391616,1,131.86,0.99,24.99,14,9.41857142857143,235,"Professional",10,"1",3,"12",17,"0","1"
"6385",0,0,"4+",20963328,0,6.97,1.99,2.99,3,2.32333333333333,167,"Newbie",4,"1",3,"7",51,"0","-1"
"6386",0,0,"4+",23085056,0,0,0,0,0,0,65,"Newbie",1,"1",3,"8",50,"1","-1"
"6387",0,0,"4+",11669504,0,0,0,0,0,0,19,"Professional",1,"1",3,"7",51,"1","-1"
"6388",0,0,"4+",26247168,0,3.98,0.99,2.99,2,1.99,201,"Professional",1,"1",3,"7",51,"0","-1"
"6389",0,0,"4+",64188416,1,0,0,0,0,0,60,"Newbie",1,"1",3,"12",12,"1","-1"
"6390",0,0,"4+",62607360,0,0,0,0,0,0,173,"Newbie",1,"1",2,"8",50,"1","-1"
"6391",0,0,"4+",154618880,0,0.99,0.99,0.99,1,0.99,87,"Newbie",1,"1",3,"7",10,"0","-1"
"6392",0,0,"4+",25649152,0,3.98,0.99,2.99,2,1.99,209,"Professional",1,"1",2,"7",51,"0","-1"
"6393",0,0,"4+",8151040,0,0,0,0,0,0,11,"Professional",1,"1",2,"7",51,"1","-1"
"6394",3,0,"4+",16179200,0,0,0,0,0,0,12,"Newbie",1,"1",2,"7",51,"1","0"
"6395",0,0,"4+",27520000,0,0,0,0,0,0,146,"Newbie",5,"1",3,"8",37,"1","-1"
"6396",4.5,0,"4+",33849344,0,0,0,0,0,0,36,"Newbie",1,"1",2,"7",48,"1","0"
"6397",0,0,"4+",77793280,0,0,0,0,0,0,11,"Newbie",1,"1",2,"10",23,"1","-1"
"6398",0,0.99,"4+",27446272,1,0,0,0,0,0,124,"Professional",1,"1",3,"7",28,"1","-1"
"6399",0,0,"9+",172609536,0,0,0,0,0,0,224,"Newbie",1,"1",2,"7",51,"1","-1"
"6400",4.5,0,"4+",87182336,1,1.99,1.99,1.99,1,1.99,164,"Professional",1,"1",3,"6",28,"0","1"
"6401",0,0,"4+",9681920,1,6.97,0.99,3.99,3,2.32333333333333,44,"Newbie",1,"1",3,"7",17,"0","-1"
"6402",4.5,0,"4+",40013824,0,0.99,0.99,0.99,1,0.99,183,"Professional",1,"1",3,"7",51,"0","1"
"6403",4.5,0,"4+",41144320,0,0.99,0.99,0.99,1,0.99,184,"Professional",1,"1",3,"7",51,"0","0"
"6404",5,0,"4+",41132032,0,0.99,0.99,0.99,1,0.99,180,"Professional",1,"1",3,"7",51,"0","0"
"6405",0,0,"4+",41046016,0,0.99,0.99,0.99,1,0.99,180,"Professional",1,"1",3,"7",51,"0","-1"
"6406",0,0,"4+",41201664,0,0.99,0.99,0.99,1,0.99,150,"Professional",1,"1",3,"8",50,"0","-1"
"6407",0,0,"4+",41148416,0,0.99,0.99,0.99,1,0.99,182,"Professional",1,"1",3,"8",50,"0","-1"
"6408",0,0,"9+",166111232,0,0,0,0,0,0,250,"Newbie",1,"1",2,"8",48,"1","-1"
"6409",0,0,"4+",19083264,0,17.97,2.99,9.99,3,5.99,95,"Professional",1,"1",2,"7",51,"0","-1"
"6410",0,0,"4+",25436160,0,2.99,2.99,2.99,1,2.99,165,"Professional",1,"1",3,"7",51,"0","-1"
"6411",0,0,"4+",10574848,0,0,0,0,0,0,52,"Newbie",10,"1",2,"7",47,"1","-1"
"6412",2.5,0.99,"9+",35831808,0,0,0,0,0,0,222,"Professional",1,"1",3,"8",30,"1","0"
"6413",0,0,"4+",157920256,0,5.97,0.99,3.99,3,1.99,219,"Newbie",33,"1",2,"11",46,"0","-1"
"6414",0,0,"4+",14393344,0,0.99,0.99,0.99,1,0.99,20,"Professional",1,"1",3,"7",51,"0","-1"
"6415",4,0,"9+",72425472,0,0,0,0,0,0,161,"Professional",1,"1",2,"7",32,"1","0"
"6416",0,0,"4+",57546752,0,0,0,0,0,0,75,"Professional",1,"1",2,"7",19,"1","-1"
"6417",0,0,"4+",1722368,0,0,0,0,0,0,36,"Newbie",1,"1",1,"8",13,"1","-1"
"6418",4.5,0,"4+",221092864,1,92.9,0.99,49.99,10,9.29,339,"Professional",1,"1",3,"8",15,"0","1"
"6419",4.5,0,"9+",340408320,0,44.9,0.99,9.99,10,4.49,291,"Newbie",1,"1",3,"7",32,"0","1"
"6420",3.5,2.99,"9+",318895104,0,11.94,1.99,1.99,6,1.99,257,"Professional",1,"1",3,"7",4,"0","0"
"6421",3.5,2.99,"9+",318895104,0,11.94,1.99,1.99,6,1.99,257,"Professional",1,"1",3,"7",4,"0","0"
"6422",0,0,"4+",87468032,0,0,0,0,0,0,22,"Newbie",1,"1",3,"7",20,"1","-1"
"6423",1,4.99,"9+",266411008,0,0,0,0,0,0,242,"Professional",1,"1",3,"11",34,"1","0"
"6424",0,0,"4+",32350208,0,0,0,0,0,0,44,"Professional",16,"1",2,"7",51,"1","-1"
"6425",0,0,"9+",210097152,0,0,0,0,0,0,52,"Newbie",1,"1",2,"3",31,"1","-1"
"6426",0,0,"4+",186128384,0,7.96,0.99,2.99,4,1.99,321,"Newbie",1,"0",2,"10",41,"0","-1"
"6427",0,0,"4+",14516224,0,0,0,0,0,0,88,"Professional",1,"1",3,"7",51,"1","-1"
"6428",4,0,"9+",12038144,1,0,0,0,0,0,289,"Newbie",1,"1",3,"11",12,"1","1"
"6429",0,0,"4+",5485568,0,1.98,0.99,0.99,2,0.99,9,"Newbie",1,"1",3,"10",36,"0","-1"
"6430",0,0,"4+",13733888,0,0,0,0,0,0,218,"Newbie",1,"1",3,"8",47,"1","-1"
"6431",0,0,"4+",64274432,0,0,0,0,0,0,106,"Professional",1,"1",2,"7",51,"1","-1"
"6432",4.5,0,"9+",522626048,0,399.9,0.99,99.99,10,39.99,274,"Professional",1,"1",3,"7",28,"0","0"
"6433",0,0,"4+",17592320,0,1.98,0.99,0.99,2,0.99,72,"Professional",1,"1",3,"7",51,"0","-1"
"6434",0,0,"9+",114566144,0,0.99,0.99,0.99,1,0.99,211,"Newbie",31,"1",3,"7",40,"0","-1"
"6435",0,0,"4+",18800640,0,0,0,0,0,0,65,"Newbie",1,"1",3,"7",51,"1","-1"
"6436",4.5,5.99,"9+",78565376,0,0,0,0,0,0,330,"Newbie",4,"1",2,"7",50,"1","0"
"6437",0,0,"4+",26601472,1,0,0,0,0,0,24,"Newbie",1,"1",3,"7",8,"1","-1"
"6438",0,0,"4+",28971008,0,0,0,0,0,0,64,"Newbie",1,"1",3,"7",50,"1","-1"
"6439",0,0,"4+",83521536,0,0,0,0,0,0,206,"Professional",1,"1",3,"7",50,"1","-1"
"6440",0,0,"4+",12517376,0,0,0,0,0,0,38,"Professional",1,"1",3,"7",39,"1","-1"
"6441",0,1.99,"4+",22953984,0,0,0,0,0,0,121,"Professional",1,"1",3,"7",51,"1","-1"
"6442",0,0,"4+",253534208,0,2.99,2.99,2.99,1,2.99,210,"Newbie",1,"1",2,"10",48,"0","-1"
"6443",5,0,"4+",25075712,0,0.99,0.99,0.99,1,0.99,100,"Newbie",1,"1",2,"8",50,"0","0"
